sku,product_id,slug,checkout_url,status,price_cents,name
DIGI-STATE-CALIFORNIA,pAoYW6cZC20uci5rY_rz9Q==,digi-state-california,https://wingbustle.gumroad.com/l/digi-state-california,ready,599,"California Birding Life List Checklist Printable, Birdwatch Log"
DIGI-STATE-COLORADO,iLF2p09514HOXej_nBVGzQ==,digi-state-colorado,https://wingbustle.gumroad.com/l/digi-state-colorado,ready,599,"Colorado Birding Life List Checklist Printable, Birdwatch Log"
DIGI-STATE-FLORIDA,9J0fhXqGxbaW9PniCjaeKA==,digi-state-florida,https://wingbustle.gumroad.com/l/digi-state-florida,ready,599,"Florida Birding Life List Checklist Printable, Birdwatch Log"
DIGI-STATE-NEW-YORK,5QjumWChcyP8r_yZew8d8Q==,digi-state-new-york,https://wingbustle.gumroad.com/l/digi-state-new-york,ready,599,"New York Birding Life List Checklist Printable, Birdwatch Log"
DIGI-STATE-NORTH-CAROLINA,JIxv5Qwv1ElijqbOa4mb7g==,digi-state-north-carolina,https://wingbustle.gumroad.com/l/digi-state-north-carolina,ready,599,"North Carolina Birding Life List Checklist Printable, Birdwatch Log"
DIGI-STATE-TEXAS,Mi0PPqrbxq_PfTWrkJte5g==,digi-state-texas,https://wingbustle.gumroad.com/l/digi-state-texas,ready,599,"Texas Birding Life List Checklist Printable, Birdwatch Log"
DIGI-STATE-WASHINGTON,3xMPRZDRyCxkDVwZAsmdWA==,digi-state-washington,https://wingbustle.gumroad.com/l/digi-state-washington,ready,599,"Washington Birding Life List Checklist Printable, Birdwatch Log"
DIGI-WARBLER-BUNDLE-001,7osUvX1W_2y4MxjnktWCdQ==,digi-warbler-bundle-001,https://wingbustle.gumroad.com/l/digi-warbler-bundle-001,ready,999,"Warbler Birding Journal Printable Bundle, Migration Log Kit"
